[2018.04.10 22:31:25] [0000m.00s.732ms] [2] Diagnostic: CesConfigCheck: CesParRuleDef
[2018.04.10 22:31:25] [0000m.00s.732ms] [2] Diagnostic: CesConfigCheck: CesNoiseRule
[2018.04.10 22:31:25] [0000m.00s.732ms] [2] Diagnostic: CesConfigCheck: CesGenObj
[2018.04.10 22:31:25] [0000m.00s.732ms] [2] Diagnostic: CesConfigCheck: CesGenCompObj
[2018.04.10 22:31:25] [0000m.00s.732ms] [2] Diagnostic: CesConfigCheck: CesGenObjType
[2018.04.10 22:31:25] [0000m.00s.732ms] [2] Diagnostic: CesConfigCheck: CesVia
[2018.04.10 22:31:25] [0000m.00s.732ms] [2] Diagnostic: CesConfigCheck: CesZAxisLayerRule
[2018.04.10 22:31:25] [0000m.00s.732ms] [2] Diagnostic: CesConfigCheck: CesZAxisClearRule
[2018.04.10 22:31:25] [0000m.00s.732ms] [2] Diagnostic: ConfigCheck: CDBImplComp
[2018.04.10 22:31:25] [0000m.00s.732ms] [2] Diagnostic: ConfigCheck: CDBImplNet
[2018.04.10 22:31:25] [0000m.00s.732ms] [2] Diagnostic: ConfigCheck: CDBImplPin
[2018.04.10 22:31:25] [0000m.00s.732ms] [2] Diagnostic: Block: pOWER_sUPPLY
[2018.04.10 22:31:25] [0000m.00s.732ms] [2] Diagnostic: BlockCheck: CDBImplNet
[2018.04.10 22:31:25] [0000m.00s.732ms] [2] Diagnostic: BlockCheck: CDBImplBus
[2018.04.10 22:31:25] [0000m.00s.732ms] [2] Diagnostic: BlockCheck: CDBImplPin
[2018.04.10 22:31:25] [0000m.00s.732ms] [2] Diagnostic: BlockCheck: CDBImplPort
[2018.04.10 22:31:25] [0000m.00s.732ms] [2] Diagnostic: BlockCheck: CDBImplComp
[2018.04.10 22:31:25] [0000m.00s.732ms] [2] Diagnostic: BlockCheck: AttributesUtility
[2018.04.10 22:31:25] [0000m.00s.732ms] [2] Diagnostic: BlockCheck: CDBImplBlockViewDxD
[2018.04.10 22:31:25] [0000m.00s.732ms] [2] Diagnostic: BlockViewDxDCheck: CDBImplNetDxD
[2018.04.10 22:31:25] [0000m.00s.732ms] [2] Diagnostic: BlockViewDxDCheck: CDBImplRipperDxD
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesConstraint
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesPin
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesFromTo
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesPhysicalNet
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesPinPair
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesElectricalNet
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesDiffPair
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesComponent
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesPartPin
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesPartPinPair
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesPart
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesDesign
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesLayerClearRule
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesSchemeClearRule
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesViaAssign
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesLayerRule
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesSchemeNetClassRule
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesScheme
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesLayer
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesNetClass
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesClearRule
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesConstraintClass
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesViaSpan
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesGenClear
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesPartTech
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesConstVar
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesC2CClearRule
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesPkgTypeClearRule
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesP2PClearRule
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesParRuleSection
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesParRuleDef
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesNoiseRule
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesGenObj
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesGenCompObj
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesGenObjType
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesVia
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesZAxisLayerRule
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesZAxisClearRule
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: ConfigCheck: CDBImplComp
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: ConfigCheck: CDBImplNet
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: ConfigCheck: CDBImplPin
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: Block: RS-485-LCD
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: BlockCheck: CDBImplNet
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: BlockCheck: CDBImplBus
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: BlockCheck: CDBImplPin
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: BlockCheck: CDBImplPort
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: BlockCheck: CDBImplComp
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: BlockCheck: AttributesUtility
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: BlockCheck: CDBImplBlockViewDxD
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: BlockViewDxDCheck: CDBImplNetDxD
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: BlockViewDxDCheck: CDBImplRipperDxD
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesConstraint
[2018.04.10 22:31:25] [0000m.00s.733ms] [2] Diagnostic: CesConfigCheck: CesPin
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: CesConfigCheck: CesFromTo
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: CesConfigCheck: CesPhysicalNet
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: CesConfigCheck: CesPinPair
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: CesConfigCheck: CesElectricalNet
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: CesConfigCheck: CesDiffPair
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: CesConfigCheck: CesComponent
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: CesConfigCheck: CesPartPin
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: CesConfigCheck: CesPartPinPair
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: CesConfigCheck: CesPart
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: CesConfigCheck: CesDesign
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: CesConfigCheck: CesLayerClearRule
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: CesConfigCheck: CesSchemeClearRule
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: CesConfigCheck: CesViaAssign
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: CesConfigCheck: CesLayerRule
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: CesConfigCheck: CesSchemeNetClassRule
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: CesConfigCheck: CesScheme
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: CesConfigCheck: CesLayer
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: CesConfigCheck: CesNetClass
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: CesConfigCheck: CesClearRule
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: CesConfigCheck: CesConstraintClass
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: CesConfigCheck: CesViaSpan
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: CesConfigCheck: CesGenClear
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: CesConfigCheck: CesPartTech
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: CesConfigCheck: CesConstVar
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: CesConfigCheck: CesC2CClearRule
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: CesConfigCheck: CesPkgTypeClearRule
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: CesConfigCheck: CesP2PClearRule
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: CesConfigCheck: CesParRuleSection
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: CesConfigCheck: CesParRuleDef
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: CesConfigCheck: CesNoiseRule
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: CesConfigCheck: CesGenObj
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: CesConfigCheck: CesGenCompObj
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: CesConfigCheck: CesGenObjType
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: CesConfigCheck: CesVia
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: CesConfigCheck: CesZAxisLayerRule
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: CesConfigCheck: CesZAxisClearRule
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: ConfigCheck: CDBImplComp
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: ConfigCheck: CDBImplNet
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: ConfigCheck: CDBImplPin
[2018.04.10 22:31:25] [0000m.00s.734ms] [2] Diagnostic: Snapshot: DxD_Connectivity_Checker check finished.
[2018.04.10 22:31:25] [0000m.00s.739ms] [0] Diagnostic: FINISH
[2018.04.10 22:31:25] [0000m.00s.739ms] [0] .
